Date,MRP,Q1,DR1,SP,Q2,DR2,MSP,Q3,DR3,Base Price,Probable Index for Bp,Adj Close,Discount,Discount%,General Discount,GD%,Product Availibility index,Quantity ( kg ).1,Total Market Value ( in Thousands ),D-S Ratio,City,Avg. Correlation ( MRP Vs SP ),Avg. Correlation ( MRP Vs MSP ),Avg. Correlation ( MSP Vs SP ),Avg. Correlation ( MRP Vs BP ),Avg. Correlation ( SP Vs BP )
29-06-2010,25,8991.208651,0.479114618,19,7756.987931,0.413346687,17.540001,2018.103418,0.107538695,20.13500025,0.75,23.889999,6,24,4.86499975,19.459999,,18766.3,469157.5,1,Jaipur,0.99942524,0.999389119,0.999575012,0.999726036,0.999726036
30-06-2010,30.42,11620.9792,0.676145434,25.790001,4337.48951,0.252368899,23.299999,1228.631295,0.071485666,26.32500025,0.75,23.83,4.629999,15.22024655,4.09499975,13.46153764,,17187.1,522831.582,1,Jaipur,0.99942524,0.999389119,0.999575012,0.999726036,0.999726036
01-07-2010,25.92,6626.851584,0.806304033,25,277.0646228,0.03371108,20.27,1314.883794,0.159984888,24.0475,0.75,21.959999,0.92,3.549382716,1.8725,7.224151235,,8218.8,213031.296,1,Jaipur,0.99942524,0.999389119,0.999575012,0.999726036,0.999726036
02-07-2010,23.1,831.2274306,0.161723692,23,3447.359568,0.670718621,18.709999,861.2130011,0.167557687,21.95249975,0.75,19.200001,0.1,0.432900433,1.14750025,4.96753355,,5139.8,118729.38,1,Jaipur,0.99942524,0.999389119,0.999575012,0.999726036,0.999726036
06-07-2010,20,4094.4843,0.59626386,20,305.613267,0.044505274,15.83,2466.802433,0.359230866,18.9575,0.75,16.110001,0,0,1.0425,5.2125,,6866.9,137338,1,Jaipur,0.99942524,0.999389119,0.999575012,0.999726036,0.999726036
07-07-2010,16.629999,2442.810295,0.352920568,16.4,1741.450854,0.25159294,14.98,2737.43885,0.395486492,16.10249975,0.75,15.8,0.229999,1.383036764,0.52749925,3.171974033,,6921.7,115107.8641,1,Jaipur,0.99942524,0.999389119,0.999575012,0.999726036,0.999726036
08-07-2010,17.52,4813.453049,0.624199633,16.139999,2766.521189,0.358757319,15.57,131.4257621,0.017043048,16.3424995,0.75,17.459999,1.380001,7.876718037,1.1775005,6.720893265,,7711.4,135103.728,1,Jaipur,0.99942524,0.999389119,0.999575012,0.999726036,0.999726036
09-07-2010,17.9,423.9776926,0.104670343,17.58,3468.482531,0.856288582,16.549999,158.139776,0.039041074,17.40249975,0.75,17.4,0.32,1.787709497,0.49750025,2.779331006,,4050.6,72505.74,1,Jaipur,0.99942524,0.999389119,0.999575012,0.999726036,0.999726036
12-07-2010,18.07,1356.612062,0.615941912,17.950001,562.287044,0.255294912,17,283.6008944,0.128763176,17.7425005,0.75,17.049999,0.119999,0.664078583,0.3274995,1.81239347,,2202.5,39799.175,1,Jaipur,0.99942524,0.999389119,0.999575012,0.999726036,0.999726036
13-07-2010,18.639999,291.9537316,0.108933895,17.389999,1495.374795,0.557954851,16.9,892.7714735,0.333111255,17.57999925,0.75,18.139999,1.25,6.706008943,1.05999975,5.686694243,,2680.1,49957.06132,1,Jaipur,0.99942524,0.999389119,0.999575012,0.999726036,0.999726036
